SalesID,SalePrice,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,fiProductClassDesc,state,ProductGroup,ProductGroupDesc,Drive_System,Enclosure,Forks,Pad_Type,Ride_Control,Stick,Transmission,Turbocharged,Blade_Extension,Blade_Width,Enclosure_Type,Engine_Horsepower,Hydraulics,Pushblock,Ripper,Scarifier,Tip_Control,Tire_Size,Coupler,Coupler_System,Grouser_Tracks,Hydraulics_Flow,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,Backhoe_Mounting,Blade_Type,Travel_Controls,Differential_Type,Steering_Controls,saleYear,saleMonth,saleDay,saleDayOfWeek,saleDayOfYear
1253286,34000,1152667,6788,132,4,1987,360,Low,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1363971,26000,1103865,7267,132,4,1980,,,930,930,,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,17.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1363929,26000,1550628,7267,132,4,1979,,,930,930,,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1718478,30000,1163401,8912,132,4,1986,,,LK500,LK500,,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1327024,27000,1298112,1526,132,4,1987,,,D3BLGP,D3,B,,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1363921,27000,1104533,7267,132,4,1979,,,930,930,,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1676547,10000,1390207,5060,132,4,1972,,,T500A,T500,A,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,None or Unspecified,"14""",,,,,,,,,,,,,,,,1989,2,1,2,32
1483947,15000,1386131,3348,132,4,1974,,,112F,112,F,,,,Motorgrader - 45.0 to 130.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,2,1,2,32
1483929,11000,1084620,3348,132,4,1973,,,112F,112,F,,,,Motorgrader - 45.0 to 130.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,None or Unspecified,"14""",,,,,,,,,,,,,,,,1989,2,1,2,32
1737640,67000,188485,9049,132,4,1985,,,PC220,PC220,,,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,TEX,Track Excavators,,OROPS,,,,,,,,,,,2 Valve,,,,,,None or Unspecified,,,,,,,,,,,,,,,1989,2,1,2,32
1327006,26000,1345298,1526,132,4,1987,,,D3BLGP,D3,B,,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1327004,26500,1289625,1526,132,4,1987,,,D3BLGP,D3,B,,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,,1989,2,1,2,32
1453112,34000,1187278,3854,132,4,1978,,,966C,966,C,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,23.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1326983,21000,1181846,1526,132,4,1986,,,D3BLGP,D3,B,,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1502869,68000,1184834,4155,132,4,1980,,,D9H,D9,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,,1989,2,1,2,32
1363729,23500,1537780,7267,132,4,1978,,,930,930,,,,,Wheel Loader - 100.0 to 110.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1619834,26000,1448749,8050,132,4,1988,250,Low,310,310,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1753875,13000,1202211,8995,132,4,1981,4082,Medium,D41,D41,,,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1516358,72000,1277871,3855,132,4,1981,,,966D,966,D,,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1264902,20000,1488640,6788,132,4,1984,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1250324,31000,1502667,6788,132,4,1988,33,Low,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1596906,11000,1469868,24488,132,4,1979,,,450,450,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1595477,12250,1478498,8180,132,4,1977,,,510,510,,,,,Wheel Loader - 120.0 to 135.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1259588,11750,1133283,6788,132,4,1977,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1730629,105000,846914,9118,132,4,1987,,,WA400,WA400,,,,Medium,Wheel Loader - 200.0 to 225.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,,,,,,,,,,,,1989,2,1,2,32
1595525,8750,1214458,8050,132,4,1978,,,310,310,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1818555,17000,1506175,9862,132,4,1980,,,MS180,MS180,,,,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1740227,12500,1280196,11916,132,4,1979,,,D45A,D45,A,,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,No,2 Pedal,,,1989,2,1,2,32
1329758,14500,1350714,4104,132,4,1978,,,D4E,D4,E,,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,2,1,2,32
1370063,23000,1365948,4146,132,4,1973,,,D8H,D8,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,2,1,2,32
1369918,27000,1365422,4146,132,4,1973,,,D8H,D8,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Powershift,,,,,,3 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,2,1,2,32
1304085,22000,1239410,3369,132,4,1970,,,14E,14,E,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,2,1,2,32
1513323,67500,1497685,3371,132,4,1979,,,14G,14,G,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,Powershift,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,Yes,Yes,Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,2,1,2,32
1369848,16000,1216632,4146,132,4,1972,,,D8H,D8,H,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,2,1,2,32
1718768,36000,1195972,8899,132,4,1983,,,K909,K909,,,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1601416,23500,1343986,30689,132,4,1986,,,415,415,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1857766,13750,1415122,10731,132,4,1979,,,530,530,,,,Medium,Wheel Loader - 135.0 to 150.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1654557,42500,1276161,8561,132,4,1987,,,FG95,FG95,,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,Powershift,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,,,,,,,,,,,,,,,,1989,2,1,2,32
1730908,19000,1515071,8987,132,4,1975,,,D155,D155,,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,Straight,2 Pedal,,,1989,2,1,2,32
1759728,40500,1386937,8998,132,4,1984,,,D53,D53,,,,Medium,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,,,,,,,,,,,,Straight,2 Pedal,,,1989,2,1,2,32
1616814,27500,1265650,8089,132,4,1984,,,410,410,,,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1597503,18500,1094661,8247,132,4,1979,,,644,644,,,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1597581,9500,1484236,24493,132,4,1979,,,350,350,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1475816,30500,890655,7277,132,4,1974,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1475837,26000,1494273,7277,132,4,1974,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1597802,25000,1209587,8247,132,4,1979,,,644,644,,,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1449683,13000,1107758,3356,132,4,1966,,,12F,12,F,,,,Motorgrader - 45.0 to 130.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,14',None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,None or Unspecified,Sideshift & Tip,"14""",,,,,,,,,,,,,,,,1989,2,1,2,32
1446414,67000,1273977,3362,132,4,1983,,,140G,140,G,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,None or Unspecified,,,,,,,,,,,,,,,,1989,2,1,2,32
1504366,26000,1229620,4139,132,4,1975,,,D7G,D7,G,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Angle,None or Unspecified,,,1989,2,1,2,32
1475917,27000,1211039,7277,132,4,1975,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,Yes,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1513132,55000,1137229,3371,132,4,1978,,,14G,14,G,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,EROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,None or Unspecified,Sideshift & Tip,"20.5""",,,,,,,,,,,,,,,,1989,2,1,2,32
1454162,77500,1549043,7008,132,4,1985,,,225,225,,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1449670,12000,1300919,3356,132,4,1967,,,12F,12,F,,,,Motorgrader - 45.0 to 130.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,None or Unspecified,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,"14""",,,,,,,,,,,,,,,,1989,2,1,2,32
1372324,23000,1394760,4123,132,4,1975,,,D6C,D6,C,,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,2,1,2,32
1259423,11250,1333273,6788,132,4,1977,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1454178,76000,1338678,7008,132,4,1985,,,225,225,,,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1740249,15000,1372656,8988,132,4,1979,,,D31,D31,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1261336,16500,1360565,6788,132,4,1982,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1330182,23000,1404144,1526,132,4,1986,,,D3BLGP,D3,B,,LGP,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1738814,105000,1458499,9049,132,4,1988,,,PC220,PC220,,,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1654558,43000,1076332,8561,132,4,1987,,,FG95,FG95,,,,,Motorgrader - 145.0 to 170.0 Horsepower,Florida,MG,Motor Graders,No,OROPS,,,,,Powershift,,None or Unspecified,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,"14""",,,,,,,,,,,,,,,,1989,2,1,2,32
1475867,31000,1503077,7277,132,4,1974,,,950,950,,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1819063,31000,1485456,9867,132,4,1986,1111,Low,MS300,MS300,,,,Large / Medium,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1616571,23500,1256653,24488,132,4,1984,,,450,450,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1654878,22000,1246580,8554,132,4,1983,1793,Low,FD5,FD5,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS w AC,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1419810,27000,1386213,7261,132,4,1983,,,920,920,,,,,Wheel Loader - 90.0 to 100.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1738733,107000,1230836,9049,132,4,1988,,,PC220,PC220,,,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1717369,33000,1150527,5188,132,4,1986,,,KSS80Z,KSS80,Z,,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1612149,20500,1309933,8371,132,4,1978,,,890,890,,,,Large / Medium,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,36 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1597476,20000,1463462,8247,132,4,1979,,,644,644,,,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,Florida,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,20.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1595587,15500,1166087,8215,132,4,1968,,,570,570,,,,,Skid Steer Loader - 976.0 to 1251.0 Lb Operating Capacity,Florida,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,2 Valve,,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,,1989,2,1,2,32
1392943,94000,1340449,4148,132,4,1982,,,D8L,D8,L,,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,Straight,None or Unspecified,,,1989,2,1,2,32
1707441,9500,1158366,8846,132,4,1981,,,1550,1550,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Powershift,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1260984,13500,1335928,6788,132,4,1981,,,580,580,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1597176,8750,1483929,8050,132,4,1979,,,310,310,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1328991,21000,1391363,4089,132,4,1984,,,D3B,D3,B,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1602541,40000,1095463,8269,132,4,1984,,,690,690,,,,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Florida,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,1989,2,1,2,32
1707431,9500,1092601,8846,132,4,1980,200,Low,1550,1550,,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,BL,Backhoe Loaders,Two Wheel Drive,OROPS,Yes,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,1989,2,1,2,32
1597073,16000,1443543,24488,132,4,1979,,,450,450,,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,1989,2,1,2,32
1655757,16250,1406534,8573,132,4,1985,,,FR20,FR20,,,,Medium,Wheel Loader - 225.0 to 250.0 Horsepower,Florida,WL,Wheel Loader,,EROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,1989,2,1,2,32
1737994,23000,1460437,9008,132,4,1981,,,D85,D85,,,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,TTT,Track Type Tractors,,EROPS,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,No,2 Pedal,,,1989,2,1,2,32
